"LocationID","Borough","Zone","service_zone"
211,"Manhattan","SoHo","YELLOW"
212,"Bronx","Soundview/Bruckner","BORO"
213,"Bronx","Soundview/Castle Hill","BORO"
214,"Staten Island","South Beach/Dongan Hills","BORO"
215,"Queens","South Jamaica","BORO"
216,"Queens","South Ozone Park","BORO"
217,"Brooklyn","South Williamsburg","BORO"
218,"Queens","Springfield Gardens North","BORO"
219,"Queens","Springfield Gardens South","BORO"
220,"Bronx","Spuyten Duyvil/Kingsbridge","BORO"
221,"Staten Island","Stapleton","BORO"
222,"Brooklyn","Starrett City","BORO"
223,"Queens","Steinway","BORO"
224,"Manhattan","Stuy Town/Peter Cooper Village","YELLOW"
225,"Brooklyn","Stuyvesant Heights","BORO"
226,"Queens","Sunnyside","BORO"
227,"Brooklyn","Sunset Park East","BORO"
228,"Brooklyn","Sunset Park West","BORO"
229,"Manhattan","Sutton Place/Turtle Bay North","YELLOW"
230,"Manhattan","Times Sq/Theatre District","YELLOW"
231,"Manhattan","TriBeCa/Civic Center","YELLOW"
232,"Manhattan","Two Bridges/Seward Park","YELLOW"
233,"Manhattan","UN/Turtle Bay South","YELLOW"
234,"Manhattan","Union Sq","YELLOW"
235,"Bronx","University Heights/Morris Heights","BORO"
236,"Manhattan","Upper East Side North","YELLOW"
237,"Manhattan","Upper East Side South","YELLOW"
238,"Manhattan","Upper West Side North","YELLOW"
239,"Manhattan","Upper West Side South","YELLOW"
240,"Bronx","Van Cortlandt Park","BORO"
241,"Bronx","Van Cortlandt Village","BORO"
242,"Bronx","Van Nest/Morris Park","BORO"
243,"Manhattan","Washington Heights North","BORO"
244,"Manhattan","Washington Heights South","BORO"
245,"Staten Island","West Brighton","BORO"
246,"Manhattan","West Chelsea/Hudson Yards","YELLOW"
247,"Bronx","West Concourse","BORO"
248,"Bronx","West Farms/Bronx River","BORO"
249,"Manhattan","West Village","YELLOW"
250,"Bronx","Westchester Village/Unionport","BORO"
251,"Staten Island","Westerleigh","BORO"
252,"Queens","Whitestone","BORO"
253,"Queens","Willets Point","BORO"
254,"Bronx","Williamsbridge/Olinville","BORO"
255,"Brooklyn","Williamsburg (North Side)","BORO"
256,"Brooklyn","Williamsburg (South Side)","BORO"
257,"Brooklyn","Windsor Terrace","BORO"
258,"Queens","Woodhaven","BORO"
259,"Bronx","Woodlawn/Wakefield","BORO"
260,"Queens","Woodside","BORO"
261,"Manhattan","World Trade Center","YELLOW"
262,"Manhattan","Yorkville East","YELLOW"
263,"Manhattan","Yorkville West","YELLOW"
264,"Unknown","NV","N/A"
265,"Unknown","NA","N/A"
